,ID,Nachname,Vorname,Adelstitel,Anrede_Titel,Geburtsdatum,Geburtsort,Sterbedatum,Geschlecht,Religion,Beruf,Partei,Profession,is_stem,WP,Von,Bis,Wahlkreis,Bundesland,Liste,Mandatsart
0,11000001,Abelein,Manfred,,Dr.,20.10.1930,Stuttgart,17.01.2008,männlich,katholisch,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",CDU,"Lawyer, Auditor, University Professor",No,5,19.10.1965,19.10.1969,,BWG,,Direktwahl
1,11000001,Abelein,Manfred,,Dr.,20.10.1930,Stuttgart,17.01.2008,männlich,katholisch,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",CDU,"Lawyer, Auditor, University Professor",No,6,20.10.1969,22.09.1972,,BWG,,Direktwahl
2,11000001,Abelein,Manfred,,Dr.,20.10.1930,Stuttgart,17.01.2008,männlich,katholisch,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",CDU,"Lawyer, Auditor, University Professor",No,7,13.12.1972,13.12.1976,,BWG,,Direktwahl
3,11000001,Abelein,Manfred,,Dr.,20.10.1930,Stuttgart,17.01.2008,männlich,katholisch,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",CDU,"Lawyer, Auditor, University Professor",No,8,14.12.1976,04.11.1980,,BWG,,Direktwahl
4,11000001,Abelein,Manfred,,Dr.,20.10.1930,Stuttgart,17.01.2008,männlich,katholisch,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",CDU,"Lawyer, Auditor, University Professor",No,9,04.11.1980,29.03.1983,,BWG,,Direktwahl
5,11000001,Abelein,Manfred,,Dr.,20.10.1930,Stuttgart,17.01.2008,männlich,katholisch,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",CDU,"Lawyer, Auditor, University Professor",No,10,29.03.1983,18.02.1987,,BWG,,Direktwahl
6,11000001,Abelein,Manfred,,Dr.,20.10.1930,Stuttgart,17.01.2008,männlich,katholisch,"Rechtsanwalt, Wirtschaftsprüfer, Universitätsprofessor",CDU,"Lawyer, Auditor, University Professor",No,11,18.02.1987,20.12.1990,,BWG,,Direktwahl
7,11000002,Achenbach,Ernst,,Dr.,09.04.1909,Siegen,02.12.1991,männlich,evangelisch,Rechtsanwalt und Notar,FDP,Lawyer and Notary,No,3,15.10.1957,15.10.1961,,,NRW,Landesliste
8,11000002,Achenbach,Ernst,,Dr.,09.04.1909,Siegen,02.12.1991,männlich,evangelisch,Rechtsanwalt und Notar,FDP,Lawyer and Notary,No,4,17.10.1961,17.10.1965,,,NRW,Landesliste
9,11000002,Achenbach,Ernst,,Dr.,09.04.1909,Siegen,02.12.1991,männlich,evangelisch,Rechtsanwalt und Notar,FDP,Lawyer and Notary,No,5,19.10.1965,19.10.1969,,,NRW,Landesliste
